"date","area_name","new_cases","total_cases"
2020-03-01,"Rest of England",23,62
2020-03-02,"Rest of England",27,89
2020-03-03,"Rest of England",46,135
2020-03-04,"Rest of England",31,166
2020-03-05,"Rest of England",33,199
2020-03-06,"Rest of England",50,249
2020-03-07,"Rest of England",33,282
2020-03-08,"Rest of England",28,310
2020-03-09,"Rest of England",71,381
2020-03-10,"Rest of England",132,513
2020-03-11,"Rest of England",171,684
2020-03-12,"Rest of England",248,932
2020-03-13,"Rest of England",256,1188
2020-03-14,"Rest of England",168,1356
2020-03-15,"Rest of England",232,1588
2020-03-16,"Rest of England",312,1900
2020-03-17,"Rest of England",369,2269
2020-03-18,"Rest of England",553,2822
2020-03-19,"Rest of England",598,3420
2020-03-20,"Rest of England",655,4075
2020-03-21,"Rest of England",684,4759
2020-03-22,"Rest of England",771,5530
2020-03-23,"Rest of England",1330,6860
2020-03-24,"Rest of England",1384,8244
2020-03-25,"Rest of England",1505,9749
2020-03-26,"Rest of England",1846,11595
2020-03-27,"Rest of England",1839,13434
2020-03-28,"Rest of England",1792,15226
2020-03-29,"Rest of England",1842,17068
2020-03-30,"Rest of England",2646,19714
2020-03-31,"Rest of England",2844,22558
2020-04-01,"Rest of England",3120,25678
2020-04-02,"Rest of England",2982,28660
2020-04-03,"Rest of England",3107,31767
2020-04-04,"Rest of England",2603,34370
2020-04-05,"Rest of England",2426,36796
2020-04-06,"Rest of England",3488,40284
2020-04-07,"Rest of England",3574,43858
2020-04-08,"Rest of England",3397,47255
2020-04-09,"Rest of England",3233,50488
2020-04-10,"Rest of England",2933,53421
2020-04-11,"Rest of England",2502,55923
2020-04-12,"Rest of England",2268,58191
2020-04-13,"Rest of England",2739,60930
2020-04-14,"Rest of England",2860,63790
2020-04-15,"Rest of England",3043,66833
2020-04-16,"Rest of England",2949,69782
2020-04-17,"Rest of England",2993,72775
2020-04-18,"Rest of England",2267,75042
2020-04-19,"Rest of England",1842,76884
2020-04-20,"Rest of England",2698,79582
2020-04-21,"Rest of England",2647,82229
2020-04-22,"Rest of England",2484,84713
2020-04-23,"Rest of England",2443,87156
2020-04-24,"Rest of England",2523,89679
2020-04-25,"Rest of England",1649,91328
2020-04-26,"Rest of England",1314,92642
2020-04-27,"Rest of England",2034,94676
2020-04-28,"Rest of England",2095,96771
2020-04-29,"Rest of England",2088,98859
2020-04-30,"Rest of England",1869,100728
2020-05-01,"Rest of England",1751,102479
2020-05-02,"Rest of England",1112,103591
2020-05-03,"Rest of England",896,104487
2020-05-04,"Rest of England",1462,105949
2020-05-05,"Rest of England",1455,107404
2020-05-06,"Rest of England",1285,108689
2020-05-07,"Rest of England",1292,109981
2020-05-08,"Rest of England",921,110902
2020-05-09,"Rest of England",829,111731
2020-05-10,"Rest of England",690,112421
2020-05-11,"Rest of England",1166,113587
2020-05-12,"Rest of England",1021,114608
2020-05-13,"Rest of England",991,115599
2020-05-14,"Rest of England",814,116413
2020-05-15,"Rest of England",848,117261
2020-05-16,"Rest of England",612,117873
2020-05-17,"Rest of England",601,118474
2020-05-18,"Rest of England",881,119355
2020-05-19,"Rest of England",977,120332
2020-05-20,"Rest of England",761,121093
2020-05-21,"Rest of England",695,121788
2020-05-22,"Rest of England",662,122450
2020-05-23,"Rest of England",444,122894
2020-05-24,"Rest of England",367,123261
2020-05-25,"Rest of England",490,123751
2020-05-26,"Rest of England",514,124265
2020-05-27,"Rest of England",509,124774
2020-05-28,"Rest of England",417,125191
2020-05-29,"Rest of England",406,125597
2020-05-30,"Rest of England",328,125925
2020-05-31,"Rest of England",291,126216
2020-06-01,"Rest of England",421,126637
2020-06-02,"Rest of England",444,127081
2020-06-03,"Rest of England",367,127448
2020-06-04,"Rest of England",245,127693
2020-06-05,"Rest of England",70,127763
2020-06-06,"Rest of England",6,127769
